component_id,lot_id,test_step,aging_time_hours,delta_capacitance_pct,delta_esr_pct,capacitance_uf,esr_ohms,stress_voltage_v,static_spec_fail,drift_velocity_c,drift_velocity_esr,component_ever_fails,first_failure_step
C3,LOT_10V_EOS,0,0.0,0.0,0.0,2200.0,0.045,10.0,0,0.0,0.0,1,10
C3,LOT_10V_EOS,1,24.0,0.642,9.019,2185.876,0.04906,10.0,0,0.02675,0.37579,1,10
C3,LOT_10V_EOS,2,47.0,1.584,17.056,2165.152,0.05268,10.0,0,0.04096,0.34943,1,10
C3,LOT_10V_EOS,3,71.0,2.203,25.035,2151.534,0.05627,10.0,0,0.02579,0.33246,1,10
C3,LOT_10V_EOS,4,94.0,3.576,30.298,2121.328,0.05863,10.0,0,0.0597,0.22883,1,10
C3,LOT_10V_EOS,5,116.0,6.45,33.49,2058.1,0.06007,10.0,0,0.13064,0.14509,1,10
C3,LOT_10V_EOS,6,139.0,9.32,39.858,1994.96,0.06294,10.0,0,0.12478,0.27687,1,10
C3,LOT_10V_EOS,7,149.0,11.54,42.295,1946.12,0.06403,10.0,0,0.222,0.2437,1,10
C3,LOT_10V_EOS,8,161.0,14.694,49.56,1876.732,0.0673,10.0,0,0.26283,0.60542,1,10
C3,LOT_10V_EOS,9,171.0,19.054,51.034,1780.812,0.06797,10.0,0,0.436,0.1474,1,10
C3,LOT_10V_EOS,10,194.0,21.045,52.389,1737.01,0.06858,10.0,1,0.08657,0.05891,1,10
C4,LOT_10V_EOS,0,0.0,0.0,0.0,2200.0,0.045,10.0,0,0.0,0.0,1,9
C4,LOT_10V_EOS,1,24.0,0.83,9.809,2181.74,0.04941,10.0,0,0.03458,0.40871,1,9
C4,LOT_10V_EOS,2,47.0,1.862,16.987,2159.036,0.05264,10.0,0,0.04487,0.31209,1,9
C4,LOT_10V_EOS,3,71.0,2.48,25.243,2145.44,0.05636,10.0,0,0.02575,0.344,1,9
C4,LOT_10V_EOS,4,94.0,3.89,28.98,2114.42,0.05804,10.0,0,0.0613,0.16248,1,9
C4,LOT_10V_EOS,5,116.0,6.236,32.658,2062.808,0.0597,10.0,0,0.10664,0.16718,1,9
C4,LOT_10V_EOS,6,139.0,9.03,37.97,2001.34,0.06209,10.0,0,0.12148,0.23096,1,9
C4,LOT_10V_EOS,7,149.0,11.365,41.856,1949.97,0.06384,10.0,0,0.2335,0.3886,1,9
C4,LOT_10V_EOS,8,161.0,14.75,49.893,1875.5,0.06745,10.0,0,0.28208,0.66975,1,9
C4,LOT_10V_EOS,9,171.0,20.04,52.12,1759.12,0.06845,10.0,1,0.529,0.2227,1,9
C4,LOT_10V_EOS,10,194.0,22.675,53.298,1701.15,0.06898,10.0,1,0.11457,0.05122,1,9
C5,LOT_10V_EOS,0,0.0,0.0,0.0,2200.0,0.045,10.0,0,0.0,0.0,1,10
C5,LOT_10V_EOS,1,24.0,0.6082,9.4325,2186.62,0.04924,10.0,0,0.02534,0.39302,1,10
C5,LOT_10V_EOS,2,47.0,1.5643,17.0688,2165.585,0.05268,10.0,0,0.04157,0.33201,1,10
C5,LOT_10V_EOS,3,71.0,2.097,24.8562,2153.866,0.05619,10.0,0,0.0222,0.32448,1,10
C5,LOT_10V_EOS,4,94.0,3.5283,30.0693,2122.377,0.05853,10.0,0,0.06223,0.22666,1,10
C5,LOT_10V_EOS,5,116.0,5.9977,33.9075,2068.051,0.06026,10.0,0,0.11225,0.17446,1,10
C5,LOT_10V_EOS,6,139.0,8.5915,38.4197,2010.987,0.06229,10.0,0,0.11277,0.19618,1,10
C5,LOT_10V_EOS,7,149.0,10.8658,42.6283,1960.952,0.06418,10.0,0,0.22743,0.42086,1,10
C5,LOT_10V_EOS,8,161.0,13.6457,49.9325,1899.795,0.06747,10.0,0,0.23166,0.60868,1,10
C5,LOT_10V_EOS,9,171.0,18.23,51.5723,1798.94,0.06821,10.0,0,0.45843,0.16398,1,10
C5,LOT_10V_EOS,10,194.0,20.7967,52.5262,1742.473,0.06864,10.0,1,0.1116,0.04147,1,10
C6,LOT_10V_EOS,0,0.0,0.0,0.0,2200.0,0.045,10.0,0,0.0,0.0,1,10
C6,LOT_10V_EOS,1,24.0,0.442,9.89,2190.276,0.04945,10.0,0,0.01842,0.41208,1,10
C6,LOT_10V_EOS,2,47.0,1.55,17.02,2165.9,0.05266,10.0,0,0.04817,0.31,1,10
C6,LOT_10V_EOS,3,71.0,1.99,24.874,2156.22,0.05619,10.0,0,0.01833,0.32725,1,10
C6,LOT_10V_EOS,4,94.0,3.25,30.78,2128.5,0.05885,10.0,0,0.05478,0.25678,1,10
C6,LOT_10V_EOS,5,116.0,5.99,34.98,2068.22,0.06074,10.0,0,0.12455,0.19091,1,10
C6,LOT_10V_EOS,6,139.0,7.54,37.086,2034.12,0.06169,10.0,0,0.06739,0.09157,1,10
C6,LOT_10V_EOS,7,149.0,9.76,43.894,1985.28,0.06475,10.0,0,0.222,0.6808,1,10
C6,LOT_10V_EOS,8,161.0,12.68,49.985,1921.04,0.06749,10.0,0,0.24333,0.50758,1,10
C6,LOT_10V_EOS,9,171.0,17.23,51.65,1820.94,0.06824,10.0,0,0.455,0.1665,1,10
C6,LOT_10V_EOS,10,194.0,22.04,52.03,1715.12,0.06841,10.0,1,0.20913,0.01652,1,10
